Type,Day,Hour,Count
GP_Admits,7,14,36
GP_Admits,1,15,118
GP_Admits,2,15,128
GP_Admits,3,15,129
GP_Admits,4,15,114
GP_Admits,5,15,101
GP_Admits,6,15,49
GP_Admits,7,15,44
GP_Admits,1,16,147
GP_Admits,2,16,138
GP_Admits,3,16,138
GP_Admits,4,16,163
GP_Admits,5,16,152
GP_Admits,6,16,48
GP_Admits,7,16,34
GP_Admits,1,17,184
GP_Admits,2,17,184
GP_Admits,3,17,178
GP_Admits,4,17,196
GP_Admits,5,17,160
GP_Admits,6,17,34
GP_Admits,7,17,39
GP_Admits,1,18,176
GP_Admits,2,18,173
GP_Admits,3,18,164
GP_Admits,4,18,144
GP_Admits,5,18,171
GP_Admits,6,18,36
GP_Admits,7,18,42
GP_Admits,1,19,119
GP_Admits,2,19,148
GP_Admits,3,19,130
GP_Admits,4,19,103
GP_Admits,5,19,120
GP_Admits,6,19,31
GP_Admits,7,19,36
GP_Admits,1,20,82
GP_Admits,2,20,73
GP_Admits,3,20,100
GP_Admits,4,20,58
GP_Admits,5,20,72
GP_Admits,6,20,43
GP_Admits,7,20,28
GP_Admits,1,21,99
GP_Admits,2,21,76
GP_Admits,3,21,81
GP_Admits,4,21,52
GP_Admits,5,21,65
GP_Admits,6,21,32
GP_Admits,7,21,47
GP_Admits,1,22,58
GP_Admits,2,22,69
GP_Admits,3,22,61
GP_Admits,4,22,57
GP_Admits,5,22,53
GP_Admits,6,22,45
GP_Admits,7,22,32
GP_Admits,1,23,55
GP_Admits,2,23,36
GP_Admits,3,23,41
GP_Admits,4,23,44
GP_Admits,5,23,37
GP_Admits,6,23,34
GP_Admits,7,23,24
