HRG	Year	Activity	Unit_Cost	Total_Cost	HRG_Chapter
PA68Z	2015	31	965	29908	P
PA69Z	2015	17	1366	23221	P
PB01Z	2015	2	1175	2349	P
QZ02B	2015	3	5965	17896	Q
QZ03Z	2015	3	12711	38134	Q
QZ11B	2015	11	11612	127728	Q
QZ15B	2015	39	5244	204520	Q
QZ16A	2015	3	7236	21709	Q
QZ17B	2015	68	2230	151652	Q
QZ17C	2015	22	999	21969	Q
QZ20Z	2015	57	1207	68805	Q
QZ22B	2015	1	1541	1541	Q
RC14Z	2015	18	5590	100611	R
SA01D	2015	19	2844	54032	S
SA05D	2015	2	1894	3789	S
SA07F	2015	1	566	566	S
VA10D	2015	33	6220	205270	V
VA13A	2015	2	4003	8006	V
WA03V	2015	336	3714	1247895	W
WA09W	2015	13	3121	40572	W
WA10Z	2015	1	1754	1754	W
WA19Y	2015	2	435	871	W
WA22X	2015	131	2154	282168	W
WD22Z	2015	296	1760	520960	W
